BN,FPE,Form ID,200,210,220,230,240,250,260
107403701RR0001,2021-03-31,25,950334,N,N,,Y,N,N
130560188RR0001,2021-03-31,25,1202355,Y,N,,Y,Y,N
890403843RR0001,2021-03-31,25,24034,Y,N,,N,N,N
122463276RR0001,2021-03-31,25,8354,Y,N,,N,Y,N
119219814RR0001,2021-03-31,25,61403989,Y,Y,39474910,Y,N,Y
132219494RR0001,2021-03-31,25,4111407,Y,Y,,Y,Y,Y
809897184RR0001,2021-03-31,25,,Y,N,,N,N,N
897452405RR0001,2021-03-31,25,50500,Y,N,,N,Y,N
119279032RR0001,2021-03-31,25,30924,N,N,,Y,N,N
861960631RR0001,2021-03-31,25,,N,N,,N,N,N
137222279RR0001,2021-03-31,25,3159433,Y,Y,3865798,Y,Y,N
866434640RR0001,2021-03-31,25,3727086,Y,Y,1972798,N,N,N
119151611RR0001,2021-03-31,25,289464,Y,N,,N,Y,N
810873372RR0001,2021-03-31,25,25000,N,N,,N,N,N
888838398RR0001,2021-06-30,25,15641,N,N,,N,N,N
899084198RR0001,2021-03-31,25,28226,Y,N,,Y,N,N
118880723RR0001,2021-03-31,25,349428,Y,Y,104287,N,N,N
888285046RR0001,2021-03-31,25,600,N,N,,N,N,N
720704295RR0001,2021-03-31,25,143456,Y,N,,N,N,N
806015657RR0001,2021-03-31,25,23202,N,N,,N,Y,N
118868041RR0001,2021-03-31,25,99927,Y,Y,53961,Y,N,N
864177936RR0001,2021-03-31,25,12408,N,N,,N,Y,N
888587110RR0001,2021-03-31,25,491016,Y,N,,N,N,N
140153487RR0001,2021-03-31,25,75000,Y,N,,N,N,N
894226851RR0001,2021-03-31,25,54680,Y,N,,N,N,N
118852722RR0001,2021-06-30,25,48181,Y,N,,N,N,N
107781379RR0001,2021-03-31,25,678296,Y,N,,Y,N,N
709905715RR0001,2021-03-31,25,7997,N,N,,N,Y,N
123037939RR0001,2021-03-31,25,7926978,Y,Y,4399613,Y,N,N
130870678RR0001,2021-05-31,25,47198,N,N,,N,N,N
107781205RR0001,2021-03-31,25,14392,Y,N,,Y,N,N
719253122RR0001,2021-03-31,25,280000,Y,N,,N,Y,N
823452115RR0001,2021-08-31,25,7027,N,N,,N,Y,N
133003194RR0001,2021-03-31,25,17000,N,N,,N,Y,N
774975718RR0001,2021-05-31,25,,N,N,,N,Y,Y
108204256RR0001,2021-06-30,25,3885,N,N,,N,Y,N
864989405RR0001,2021-03-31,24,8750,Y,N,,N,Y,Y
876013004RR0001,2021-03-31,25,37278,Y,N,,Y,Y,N
118836030RR0001,2021-03-31,25,591419,Y,Y,159344,N,Y,N
118884808RR0001,2021-03-31,23,3599173,Y,Y,1114307,Y,Y,N
874201312RR0001,2021-03-31,25,277,N,N,,N,N,
119306736RR0001,2021-04-30,25,2008041,Y,N,,Y,N,N
892127333RR0001,2021-03-31,25,24478,Y,N,,N,N,N
103481032RR0001,2021-03-31,25,438092,Y,Y,438092,N,N,N
867381857RR0001,2021-03-31,25,5200,N,N,,N,N,N
801964842RR0001,2021-03-31,25,294124,N,Y,248057,Y,N,N
118834704RR0001,2021-03-31,25,76318,Y,N,,N,N,N
871095006RR0001,2021-06-30,25,35081,N,N,,N,Y,N
134073576RR0001,2021-04-30,25,59550,Y,N,,Y,N,N
850448960RR0001,2021-03-31,25,5350,N,N,,N,N,N
850045188RR0001,2021-03-31,25,,Y,N,,N,N,N
119189900RR0001,2021-03-31,25,863870,Y,N,,Y,Y,N
106863038RR0001,2021-03-31,25,7170414,Y,Y,4466187,N,N,Y
119125524RR0001,2021-06-30,25,3045,Y,N,,N,N,N
137708509RR0001,2021-03-31,25,31887,Y,N,,N,N,N
130650575RR0001,2021-03-31,25,3837608,Y,Y,225089,N,Y,N
107273989RR0001,2021-03-31,25,43745,N,N,,Y,N,N
119235695RR0001,2021-03-31,25,3000,N,N,,N,N,N
811116813RR0001,2021-03-31,25,13663985,Y,Y,9498393,Y,Y,N
864399415RR0001,2021-03-31,25,1115,N,N,,N,Y,N
106884760RR0001,2021-03-31,25,2048891,N,N,,Y,N,N
863073334RR0001,2021-03-31,25,206315,Y,N,,N,N,N
118520725RR0001,2021-03-31,25,573831,N,N,,Y,N,N
139462196RR0001,2021-03-31,25,0,N,N,,N,N,N
106913627RR0001,2021-03-31,25,485436,Y,N,,N,N,N
870820388RR0001,2021-03-31,25,18002,Y,N,,N,N,N
133000117RR0001,2021-03-31,25,791407,Y,N,,Y,Y,N
108122540RR0001,2021-03-31,25,15858,N,N,,Y,N,N
137824363RR0001,2021-04-30,25,39855,Y,N,,N,N,N
107951618RR0012,2021-03-31,25,,N,N,,N,N,N
810063867RR0001,2021-03-31,25,1206504,Y,N,,Y,Y,N
802674853RR0001,2021-08-31,25,34143,N,N,,Y,Y,N
107797177RR0001,2021-03-31,25,2702,N,N,,N,Y,N
129814570RR0001,2021-03-31,25,2167807,Y,Y,1463308,Y,Y,N
119211209RR0001,2021-06-30,25,1900,N,N,,N,N,N
108099979RR0001,2021-03-31,25,1965505,Y,N,,N,Y,N
719322083RR0001,2021-03-31,25,2000,N,N,,N,Y,N
129987301RR0001,2021-03-31,25,,N,N,,N,N,N
815449079RR0001,2021-03-31,25,,Y,N,,N,N,N
841848740RR0001,2021-03-31,25,4492,N,N,,N,N,N
814686630RR0001,2021-01-31,25,85510,Y,N,,N,Y,N
107951618RR0124,2021-03-31,25,,,,,,,
839270873RR0001,2021-03-31,25,170173,Y,N,,N,N,N
809636236RR0001,2021-03-31,25,1039931,Y,N,,Y,Y,N
832295406RR0001,2021-03-31,25,70000,Y,N,,N,N,N
119307080RR0001,2021-03-31,25,29593,Y,N,,N,N,N
107995789RR0001,2021-03-31,25,128190,Y,N,,Y,N,N
107690877RR0001,2021-03-31,25,27484125,Y,N,,Y,Y,Y
118875517RR0001,2021-03-31,25,9470469,N,Y,7789741,Y,Y,N
119219251RR0001,2021-03-31,25,4742382,N,N,,N,N,N
108162470RR0001,2021-03-31,25,1127998,N,N,,Y,N,N
118838531RR0001,2021-03-31,25,148773,Y,N,,Y,N,N
118888957RR0001,2021-03-31,25,736722,Y,N,,Y,N,N
860673235RR0001,2021-03-31,25,310006,Y,N,,Y,Y,N
706727724RR0001,2021-04-30,25,16950,N,N,,N,Y,Y
141672238RR0001,2021-03-31,25,90903,N,N,,N,Y,N
123923393RR0001,2021-06-30,25,61046,N,N,,N,N,N
118965516RR0001,2021-03-31,25,25000,Y,N,,N,N,N
119055432RR0001,2021-03-31,25,28305,Y,N,,N,N,N
809632607RR0001,2021-03-31,25,22926,N,N,,Y,Y,N
852810019RR0001,2021-05-31,25,80746,Y,N,,N,N,N
838376614RR0001,2021-03-31,25,144296,N,N,,Y,N,N
896907110RR0001,2021-03-31,25,50837,,N,,Y,Y,Y
107492928RR0001,2021-03-31,25,906206,Y,N,,Y,N,N
814687620RR0001,2021-03-31,25,184400,Y,N,,,,
888152261RR0001,2021-03-31,25,15392,N,N,,N,Y,N
866056773RR0001,2021-03-31,25,122008,Y,N,,N,Y,N
892536368RR0001,2021-06-30,25,82694,N,N,,N,Y,N
119151454RR0001,2021-03-31,25,100000,Y,N,,N,Y,N
871977617RR0001,2021-03-31,25,129501,Y,N,,N,Y,N
887806263RR0001,2021-06-30,25,13478,N,N,,N,Y,N
836146761RR0001,2021-03-31,25,153946,Y,N,,N,N,N
889016259RR0001,2021-04-30,25,18100,Y,N,,N,N,N
119279313RR0001,2021-04-30,25,6113088,N,Y,3939215,Y,N,N
891235749RR0001,2021-03-31,25,124457,Y,N,,Y,N,N
892984162RR0001,2021-03-31,25,75000,N,N,,N,Y,N
805161593RR0001,2021-03-31,25,1484,N,N,,N,Y,N
