BN,FPE,Form ID,100,110,120,130
720128289RR0001,2021-03-31,25,,,,
140199092RR0001,2021-03-31,24,,,,
131596751RR0001,2021-03-31,25,,,,
784994295RR0001,2021-03-31,25,,,,
831125794RR0001,2021-03-31,25,,,,
104230990RR0001,2021-03-31,25,,,,
708064282RR0001,2021-04-30,25,N,N,N,N
898448238RR0001,2021-04-30,25,,,,
119097624RR0001,2021-03-31,25,,,,
870042777RR0001,2021-03-31,24,,,,
119159465RR0001,2021-01-31,25,,,,
891529968RR0001,2021-03-31,25,,,,
772851325RR0001,2021-03-31,25,N,N,N,N
893990846RR0001,2021-03-31,25,,,,
140707217RR0001,2021-03-31,25,N,N,,
118921972RR0001,2021-02-28,25,,,,
142638519RR0001,2021-03-31,25,,,,
811921709RR0001,2021-04-30,25,,,,
885253112RR0001,2021-03-31,25,,,,
837580174RR0001,2021-03-31,24,,,,
868642380RR0001,2021-03-31,25,,,,
804791184RR0001,2021-03-31,25,,,,
860691435RR0001,2021-03-31,25,,,,
892960964RR0001,2021-03-31,25,,,,
887448280RR0001,2021-04-30,25,N,N,,
869299024RR0001,2021-01-31,25,N,N,N,N
888011046RR0001,2021-04-30,25,,,,
766542120RR0001,2021-01-31,23,N,N,N,N
119133213RR0001,2021-03-31,25,,,,
868535667RR0001,2021-03-31,25,,,,
727364523RR0001,2021-02-21,25,,,,
887442036RR0001,2021-02-09,25,,,,
106734809RR0001,2021-02-28,25,,,,
841471212RR0001,2021-03-31,25,N,N,,
887598894RR0001,2021-03-31,24,,,,
119008712RR0001,2021-03-31,24,,,,
872619077RR0001,2021-03-31,25,,,,
119078582RR0002,2021-02-28,25,,,,
107606717RR0001,2021-03-31,25,,,,
894510882RR0001,2021-03-31,25,,,,
890154669RR0001,2021-03-31,25,,,,
122207723RR0001,2021-03-20,25,N,N,N,N
807165345RR0001,2021-01-31,24,,,,
891787780RR0001,2021-03-31,25,,,,
119315885RR0001,2021-03-31,25,,,,
816353296RR0001,2021-03-31,24,,,,
864932520RR0001,2021-04-30,25,,,,
896645728RR0001,2021-03-30,25,,,,
868057142RR0001,2021-03-31,25,,,,
894351246RR0001,2021-01-31,25,,,,
888531662RR0001,2021-04-30,25,,,,
835397746RR0001,2021-03-31,25,N,N,N,N
118878883RR0001,2021-03-31,25,,,,
831825401RR0001,2021-04-30,25,,,,
888488467RR0001,2021-03-31,25,,,,
865451611RR0001,2021-02-28,25,,,,
874537905RR0001,2021-03-31,25,N,N,,
108213646RR0001,2021-03-31,25,,,,
892615048RR0001,2021-04-30,25,,,,
821202249RR0001,2021-03-31,25,,,,
899047906RR0001,2021-03-31,25,,,,
861559979RR0001,2021-01-31,25,,,,
890030521RR0001,2021-03-31,23,,,,
135401255RR0001,2021-02-28,25,,,,
708353693RR0001,2021-03-31,24,N,N,,
119114577RR0001,2021-03-31,25,,,,
119247716RR0001,2021-03-31,25,,,,
890539042RR0001,2021-03-31,25,,,,
833913916RR0001,2021-03-31,25,N,N,N,N
759546310RR0001,2021-04-30,25,N,N,N,N
807314349RR0001,2021-01-31,25,,,,
119262368RR0001,2021-02-28,25,,,,
825731458RR0001,2021-03-31,25,N,N,N,N
107898090RR0001,2021-02-28,25,,,,
895689347RR0001,2021-03-31,25,,,,
119002939RR0001,2021-03-31,25,,,,
886214113RR0001,2021-04-30,25,,,,
106683329RR0001,2021-01-31,25,,,,
119172997RR0001,2021-03-31,25,,,,
871598660RR0001,2021-03-31,25,,,,
103982492RR0001,2021-03-31,25,,,,
871667168RR0001,2021-02-28,25,,,,
892082645RR0001,2021-03-31,25,,,,
107764805RR0001,2021-03-31,25,,,,
119256980RR0001,2021-03-20,23,,,,
716236328RR0001,2021-01-31,25,,,,
119168730RR0001,2021-04-30,25,,,,
118977628RR0001,2021-04-30,25,,,,
888999265RR0001,2021-03-31,25,,,,
108217134RR0001,2021-03-31,25,,,,
134205566RR0001,2021-03-31,25,,,,
873742894RR0001,2021-03-31,25,,,,
136019023RR0001,2021-02-28,25,,,,
889800199RR0001,2021-03-31,25,N,N,,
136623295RR0001,2021-03-31,25,,,,
769836891RR0001,2021-03-31,25,N,N,,
813368487RR0001,2021-01-31,25,N,N,N,N
894104173RR0001,2021-03-31,25,N,N,N,N
894113372RR0012,2021-04-30,25,,,,
119459725RR0001,2021-03-31,25,,,,
139269153RR0001,2021-03-31,25,,,,
108170648RR0001,2021-03-31,25,,,,
704426725RR0001,2021-03-31,25,,,,
869820209RR0001,2021-03-31,25,,,,
892564246RR0001,2021-02-28,25,,,,
107573313RR0001,2021-03-31,25,,,,
828963611RR0001,2021-03-31,25,,,,
118791003RR0001,2021-03-31,25,,,,
118780717RR0001,2021-03-31,25,N,N,,
130165996RR0001,2021-03-31,25,,,,
107513327RR0001,2021-04-30,25,,,,
107408056RR0001,2021-02-28,25,,,,
893125955RR0001,2021-03-31,25,,,,
133412155RR0001,2021-03-31,25,,,,
104476411RR0001,2021-03-31,25,,,,
119069839RR0001,2021-03-31,25,,,,
889261897RR0001,2021-03-31,25,,,,
844364885RR0001,2021-04-30,25,,,,
141229039RR0001,2021-03-31,25,,,,
873100978RR0001,2021-03-31,25,,,,
813454345RR0001,2021-03-31,25,,,,
129614277RR0001,2021-03-31,25,,,,
119256071RR0001,2021-03-20,25,,,,
106733504RR0001,2021-03-31,25,,,,
834190027RR0001,2021-03-31,25,,,,
130362270RR0001,2021-03-31,25,,,,
876054271RR0001,2021-03-31,25,,,,
893419366RR0001,2021-03-31,25,,,,
858604648RR0001,2021-03-20,25,,,,
132460536RR0001,2021-03-31,25,,,,
141444190RR0001,2021-03-31,25,,,,
892750019RR0001,2021-03-31,25,,,,
